ID	Mode	Molecular Weight	m/z	ion	RT [min]	Name	Formula	MA	MB	MC	MD	OA	OB	OC	OD
405	p	174.10057	174.10057	M+H	4.142	N5-Ethyl-L-glutamine	C7 H14 N2 O3	78961.53256	99805.47817		5228.128414	196367.028		12080.11853	17190.97419
406	p	108.09419	108.09419	M+H	0.875	UNII:212JQJ15PS	C8 H12	8924.797698	76857.69063		6226.460986	5395.603109		8589.892244	164048.1319
407	p	169.04091	170.04802	M+H	1.77	170.04802_1.77	C4 H11 N O4 S	41301.2921	113188.0514		99278.67128	17737.812		80999.41913	84995.34323
408	p	155.0329	156.04018	M+H	0.956	156.04018_0.956	C5 H5 N3 O3	5745.216892	13139.36363		16890.46046	43221.64665		141213.9172	4298.615639
409	p	169.14653	170.15384	M+H	0.874	(-)-Lupinine	C10 H19 N O	7574.783461	60168.39796		4806.269402	5429.241916		10253.38914	162437.3346
410	p	134.04022	135.0475	M+H	4.259	S_S-Dimethyl-beta-propiothetin	C5 H10 O2 S	1615.723752	4043.034701		9728.030657	11845.15581		139999.7106	24143.52101
411	p	289.87711	290.88437	M+H	4.444	290.88437_4.444	C3 H O10 P3	121361.1927	96783.2047		74012.40714	122034.5726		31727.82933	80417.45747
412	p	159.10073	160.108	M+H	4.101	delta-Guanidinovalericacid	C6 H13 N3 O2	52967.8838	111544.7793		79840.48023	21071.5178		39662.2478	38673.17243
413	p	454.22182	455.22906	M+H	1.055	455.22906_1.055	C24 H30 N4 O5	297.8974255	2097.475402		1118.605757	478.5568135		138003.9284	1380.464034
414	p	200.0584	201.06567	M+H	0.94	201.06567_0.94	C11 H8 N2 O2	15434.83345	65602.27837		26378.3976	2254.208505		136449.107	10938.02162
415	p	167.0616	168.06891	M+H	3.573	168.06891_3.573	C7 H10 N3 P	117303.1525	70039.40586		35632.31459	10474.34119		80076.86854	22255.34585
416	p	149.07018	150.07744	M+H	3.602	1-Methyladenine	C6 H7 N5	71335.17937	78685.15592		97404.7013	66387.4752		135020.7117	104049.4493
417	p	198.03873	199.04601	M+H	0.958	2_4-Dinitrophenylhydrazine	C6 H6 N4 O4	4310.230816	1673.544425		12618.00892	27582.38544		133538.2203	12069.61208
418	p	381.06978	382.07715	M+H	1.692	382.07715_1.692	C11 H12 N9 O5 P	19258.52673	46506.66274		82101.68014	480.7561859		84233.7879	154107.5208
419	p	122.04818	123.05546	M+H	1.219	Nicotinamide	C6 H6 N2 O	76920.87876	106253.7145		77083.67758	86603.79631		83360.29487	72826.37848
420	p	265.13161	266.13889	M+H	3.872	266.13889_3.872	C8 H20 N5 O3 P	9914.914779	6034.909348		20371.31573	1267.359241		1323.595829	153749.9396
421	p	181.07734	182.08463	M+H	3.203	182.08463_3.203	C6 H15 N O3 S	108434.8807	68479.17905		150134.8966	22774.89104		62653.50284	63662.81629
422	p	146.04016	147.04744	M+H	4.102	Tetrahydro-2-thiophenylacetic acid	C6 H10 O2 S	36642.64281	91111.70604		100534.8799	9418.934854		127184.5416	34643.77017
423	p	209.14165	210.149	M+H	4.116	dl-Bamethane	C12 H19 N O2	61451.26212	99724.07658		61922.78676	6522.5095		82727.64202	56010.88649
424	p	151.06334	152.07063	M+H	4.345	Paracetamol	C8 H9 N O2	77879.79974	88136.7423		125828.6393	51978.27002		123786.1097	115428.1453
425	p	201.14783	202.15518	M+H	4.872	202.15518_4.872	C9 H19 N3 O2	59418.68717	97192.5888		3837.99983	24678.04383		3444.633491	7476.008967
426	p	163.121	164.12828	M+H	4.582	164.12828_4.582		25511.19382	25704.15748		30920.59668	63407.5553		28759.18688	140647.5666
427	p	215.16339	216.17067	M+H	3.812	"N,N-Diethyl-4-methyl-1-piperazinecarboxamide 4-oxide"	C10 H21 N3 O2	105222.9438	83345.55629		77822.6461	71263.84089		78079.30576	77782.59072
428	p	265.91583	266.92316	M+H	4.434	266.92316_4.434	C H4 N2 O8 P2 S	104022.0634	78550.25569		52327.22415	88273.62171		19935.27898	66516.38872
429	p	156.08992	157.09717	M+H	3.901	157.09717_3.901	C7 H12 N2 O2	53503.25798	95272.64755		79062.9669	14362.64912		47561.30738	113749.2545
430	p	93.05782	187.12286	2M+H	3.408	N-Methylpyridinium	C6 H7 N	20358.81612	45761.47162		59642.49372	648.6293026		118669.8406	35763.36829
431	p	186.10056	187.10782	M+H	4.164	L-Alanyl-L-proline	C8 H14 N2 O3	90425.19116	94168.94283		84372.04791	6551.63436		112168.7344	90355.70214
432	p	155.09478	156.10205	M+H	4.179	Arecoline	C8 H13 N O2	72996.84351	63021.16489		107426.6677	51634.37006		72555.41862	135783.5061
433	p	439.35091	440.35849	M+H	1.009	440.35849_1.009	C26 H51 N P2	39051.8003	39810.90948		11276.83676	158123.2813		9990.460322	8138.767315
434	p	230.1267	231.13397	M+H	3.314	Valyl-4-hydroxyproline	C10 H18 N2 O4	12130.01064	89696.7185		5042.870426	13558.92721		8683.399094	11542.01838
435	p	323.2822	324.28952	M+H	0.885	Linoleoyl Ethanolamide	C20 H37 N O2	3511.521075	57993.5265		20276.49117	3630.662838		13341.50097	127592.7766
436	p	342.28838	343.29565	M+H	3.384	343.29565_3.384	C19 H38 N2 O3	14133.98573	11277.85648		14503.65224	149292.3052		8524.893473	13549.88941
437	p	119.95918	120.96646	M+H	4.435	120.9665_4.435		93810.54889	57811.08067		59522.12248	75768.44036		34821.90589	61839.24716
438	p	99.03254	100.03981	M+H	3.926	100.03981_3.926		15795.38196	28910.60183		24345.61334	3139.367958		106297.331	31885.9556
439	p	483.37728	484.38455	M+H	0.893	484.38455_0.896	C27 H54 N3 P S	24540.79223	21396.22459		5668.749241	143757.8251		4963.314616	2890.175399
440	p	571.16625	572.17352	M+H	1.269	572.1735_1.269	C18 H36 N7 O6 P3 S	90196.44446	1240.808349		658.506806	4718.752159		192.5489891	3933.107436
441	p	179.05271	180.06003	M+H	3.742	180.06003_3.742	C6 H14 N O P S	69773.97664	53754.86818		80310.10307	142071.7068		42888.50955	32254.87047
442	p	223.08789	224.09517	M+H	3.576	224.09517_3.576	C8 H17 N O4 S	88491.60396	65653.43909		91818.11231	78972.22496		53386.21126	49306.89294
443	p	118.05327	119.06055	M+H	3.41	Benzimidazole	C7 H6 N2	62838.98861	74335.98272		95332.75095	44799.93615		101614.6791	85076.50952
444	p	117.05802	118.06532	M+H	0.875	Indole;1-Benzazole	C8 H7 N	5870.066509	54091.22686		4660.793844	4937.239271		6962.656466	116708.2809
445	p	331.88777	332.89505	M+H	4.433	332.89505_4.433	C5 H3 O11 P3	87279.94095	58446.94856		45023.6369	72675.92543		14687.70857	47170.17705
